Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes,production_budget
Frost/Nixon,R,2008,18.59,"['Biography', ' Drama', ' History']",122,7.7,100830.0,29.0
Full Metal Jacket,R,1987,46.36,"['Drama', ' War']",116,8.3,653266.0,30.0
Gandhi,PG,1982,52.77,"['Biography', ' Drama', ' History']",191,8.0,214374.0,22.0
Gattaca,PG-13,1997,12.34,"['Drama', ' Sci-Fi', ' Thriller']",106,7.8,274234.0,36.0
Get Out,R,2017,176.04,"['Horror', ' Mystery', ' Thriller']",104,7.7,466095.0,5.0
Ghostbusters,PG,1984,238.63,"['Action', ' Comedy', ' Fantasy']",105,7.8,344907.0,144.0
Ghostbusters,PG,1984,238.63,"['Action', ' Comedy', ' Fantasy']",105,7.8,344907.0,30.0
Gifted,PG-13,2017,24.8,['Drama'],101,7.6,94583.0,7.0
Gladiator,R,2000,187.71,"['Action', ' Adventure', ' Drama']",155,8.5,1298602.0,103.0
Glengarry Glen Ross,R,1992,10.73,"['Crime', ' Drama', ' Mystery']",100,7.7,93253.0,12.5
Glory,R,1989,26.83,"['Biography', ' Drama', ' History']",122,7.8,118050.0,18.0
Goldfinger,PG,1964,51.08,"['Action', ' Adventure', ' Thriller']",110,7.7,167812.0,3.0
Gone Girl,R,2014,167.77,"['Drama', ' Mystery', ' Thriller']",149,8.1,826050.0,61.0
Gone with the Wind,Passed,1939,198.68,"['Drama', ' History', ' Romance']",238,8.1,281607.0,3.9
Good Will Hunting,R,1997,138.43,"['Drama', ' Romance']",126,8.3,830730.0,10.0
Goodfellas,R,1990,46.84,"['Biography', ' Crime', ' Drama']",146,8.7,983443.0,25.0
Gran Torino,R,2008,148.1,['Drama'],116,8.1,703427.0,25.0
Gravity,PG-13,2013,274.09,"['Drama', ' Sci-Fi', ' Thriller']",91,7.7,751643.0,110.0
Green Book,PG-13,2018,85.08,"['Biography', ' Comedy', ' Drama']",130,8.2,333070.0,23.0
Groundhog Day,PG,1993,70.91,"['Comedy', ' Fantasy', ' Romance']",101,8.0,566463.0,14.6
Guardians of the Galaxy,PG-13,2014,333.18,"['Action', ' Adventure', ' Comedy']",121,8.0,1017887.0,170.0
Hacksaw Ridge,R,2016,67.21,"['Biography', ' Drama', ' History']",139,8.1,413338.0,40.0
Halloween,R,1978,47.0,"['Horror', ' Thriller']",91,7.8,220872.0,15.0
