Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes
About Time,R,2013,15.32,"['Comedy', ' Drama', ' Fantasy']",123,7.8,287470.0
Open Your Eyes,R,1997,0.37,"['Drama', ' Mystery', ' Sci-Fi']",117,7.8,62507.0
Adam's Apples,R,2005,0.0,"['Comedy', ' Crime', ' Drama']",94,7.8,44232.0
Adaptation.,R,2002,22.25,"['Comedy', ' Drama']",115,7.7,172965.0
After Hours,R,1985,10.6,"['Comedy', ' Crime', ' Drama']",97,7.7,55943.0
Airplane!,PG,1980,83.4,['Comedy'],88,7.7,205640.0
The Man from Nowhere,R,2010,0.01,"['Action', ' Drama', ' Thriller']",119,7.8,60275.0
Akira,R,1988,0.55,"['Animation', ' Drama', ' Sci-Fi']",124,8.0,157797.0
Aladdin,G,1992,217.35,"['Animation', ' Adventure', ' Comedy']",90,8.0,361303.0
Alien,R,1979,78.9,"['Horror', ' Sci-Fi']",117,8.4,763247.0
Aliens,R,1986,85.16,"['Action', ' Adventure', ' Sci-Fi']",137,8.3,635454.0
All That Jazz,R,1979,37.82,"['Drama', ' Music', ' Musical']",123,7.9,26888.0
All the President's Men,PG,1976,70.6,"['Biography', ' Drama', ' History']",138,8.0,99043.0
Almost Famous,R,2000,32.53,"['Adventure', ' Comedy', ' Drama']",122,7.9,245891.0
Amadeus,R,1984,51.97,"['Biography', ' Drama', ' History']",160,8.3,358676.0
Amarcord,R,1973,0.0,"['Comedy', ' Drama']",123,7.9,0.0
American Beauty,R,1999,130.1,['Drama'],122,8.3,1043552.0
American Gangster,R,2007,130.16,"['Biography', ' Crime', ' Drama']",157,7.8,381995.0
American History X,R,1998,6.72,['Drama'],119,8.5,1007920.0
American Psycho,R,2000,15.07,"['Comedy', ' Crime', ' Drama']",101,7.6,468289.0
Amores Perros,R,2000,5.38,"['Drama', ' Thriller']",154,8.1,217996.0
Amour,PG-13,2012,6.74,"['Drama', ' Romance']",127,7.9,90589.0
And Now for Something Completely Different,PG,1971,0.0,['Comedy'],88,7.6,0.0
Andaz Apna Apna,PG,1994,0.0,"['Action', ' Comedy', ' Family']",160,8.2,0.0
Andrei Rublev,R,1966,0.1,"['Biography', ' Drama', ' History']",205,8.1,44180.0
Annie Hall,PG,1977,39.2,"['Comedy', ' Romance']",93,8.0,247076.0
Apocalypse Now,R,1979,83.47,"['Drama', ' Mystery', ' War']",147,8.4,586356.0
Apocalypto,R,2006,50.87,"['Action', ' Adventure', ' Drama']",139,7.8,284497.0
Apollo 13,PG,1995,173.84,"['Adventure', ' Drama', ' History']",140,7.6,260679.0
Argo,R,2012,136.03,"['Biography', ' Drama', ' Thriller']",120,7.7,560581.0
Arrival,PG-13,2016,100.55,"['Drama', ' Mystery', ' Sci-Fi']",116,7.9,570207.0
As Good as It Gets,PG-13,1997,148.48,"['Comedy', ' Drama', ' Romance']",139,7.7,268493.0
Atonement,R,2007,50.93,"['Drama', ' Mystery', ' Romance']",123,7.8,241766.0
Au Revoir les Enfants,PG,1987,4.54,"['Drama', ' War']",104,8.0,30221.0
Avatar,PG-13,2009,760.51,"['Action', ' Adventure', ' Fantasy']",162,7.8,1096501.0
Avengers: Endgame,PG-13,2019,858.37,"['Action', ' Adventure', ' Drama']",181,8.4,737748.0
Avengers: Infinity War,PG-13,2018,678.82,"['Action', ' Adventure', ' Sci-Fi']",149,8.4,785960.0
Awakenings,PG-13,1990,52.1,"['Biography', ' Drama']",121,7.8,119682.0
Baby Driver,R,2017,107.83,"['Action', ' Crime', ' Drama']",113,7.6,416654.0
Children of Heaven,PG,1997,0.93,"['Drama', ' Family', ' Sport']",89,8.3,61406.0
Back to the Future,PG,1985,210.61,"['Adventure', ' Comedy', ' Sci-Fi']",116,8.5,1016361.0
Back to the Future Part II,PG,1989,118.5,"['Adventure', ' Comedy', ' Sci-Fi']",108,7.8,462887.0
Badlands,PG,1973,0.0,"['Action', ' Crime', ' Drama']",94,7.8,0.0
Barry Lyndon,PG,1975,0.0,"['Adventure', ' Drama', ' History']",185,8.1,0.0
Barton Fink,R,1991,6.15,"['Comedy', ' Drama', ' Thriller']",116,7.7,110133.0
Batman Begins,PG-13,2005,206.85,"['Action', ' Adventure']",140,8.2,1269693.0
Batman: Mask of the Phantasm,PG,1993,5.62,"['Animation', ' Action', ' Crime']",76,7.8,41622.0
Beauty and the Beast,G,1991,218.97,"['Animation', ' Family', ' Fantasy']",84,8.0,408780.0
Before Midnight,R,2013,8.11,"['Drama', ' Romance']",109,7.9,134959.0
Before Sunrise,R,1995,5.54,"['Drama', ' Romance']",101,8.1,259668.0
Before Sunset,R,2004,5.82,"['Drama', ' Romance']",80,8.0,226377.0
Being John Malkovich,R,1999,22.86,"['Comedy', ' Drama', ' Fantasy']",113,7.7,301891.0
Being There,PG,1979,30.18,"['Comedy', ' Drama']",130,8.0,63775.0
Belle de Jour,R,1967,0.03,['Drama'],100,7.7,38800.0
Ben-Hur,G,1959,74.7,"['Adventure', ' Drama', ' History']",212,8.1,213564.0
Big Fish,PG-13,2003,66.26,"['Adventure', ' Drama', ' Fantasy']",125,8.0,406191.0
Big Hero 6,PG,2014,222.53,"['Animation', ' Action', ' Adventure']",102,7.8,398311.0
Billy Elliot,R,2000,22.0,"['Drama', ' Music']",110,7.7,123090.0
3-Iron,R,2004,0.24,"['Crime', ' Drama', ' Romance']",88,8.0,48290.0
Birdman or (The Unexpected Virtue of Ignorance),R,2014,42.34,"['Comedy', ' Drama']",119,7.7,562160.0
Black Hawk Down,R,2001,108.64,"['Drama', ' History', ' War']",144,7.7,356351.0
Black Swan,R,2010,106.95,"['Drama', ' Thriller']",108,8.0,682792.0
Blade Runner,R,1982,32.87,"['Action', ' Sci-Fi', ' Thriller']",117,8.1,673513.0
Blade Runner 2049,R,2017,92.05,"['Action', ' Drama', ' Mystery']",164,8.0,435428.0
Blazing Saddles,R,1974,119.5,"['Comedy', ' Western']",93,7.7,122566.0
Blood Diamond,R,2006,57.37,"['Adventure', ' Drama', ' Thriller']",143,8.0,486907.0
